Rank,Game,Platform,Publisher,Total_Sales,Na_Sales,Pal_Sales,Japan_Sales,Other_Sales,Year
1,Wii Sports,Wii,Nintendo  ,82.65,41.36,29.02,3.77,8.51,2006
2,Super Mario Bros.,NES,Nintendo  ,40.24,29.08,3.58,6.81,0.77,1985
3,Mario Kart Wii,Wii,Nintendo  ,35.98,15.91,12.92,3.8,3.35,2008
4,Wii Sports Resort,Wii,Nintendo  ,32.9,15.61,10.99,3.29,3.02,2009
5,Pokémon Red / Green / Blue Version,GB,Nintendo  ,31.37,11.27,8.89,10.22,1.0,1998
6,Tetris,GB,Nintendo  ,30.26,23.2,2.26,4.22,0.58,1989
7,New Super Mario Bros.,DS,Nintendo  ,29.85,11.28,9.19,6.5,2.89,2006
8,Wii Play,Wii,Nintendo  ,28.92,13.96,9.18,2.93,2.85,2007
9,New Super Mario Bros. Wii,Wii,Nintendo  ,28.51,14.53,7.01,4.7,2.27,2009
10,Duck Hunt,NES,Nintendo  ,28.31,26.93,0.63,0.28,0.47,1985
11,Nintendogs,DS,Nintendo  ,24.68,9.05,10.96,1.93,2.74,2005
12,Mario Kart DS,DS,Nintendo  ,23.26,9.71,7.51,4.13,1.91,2005
13,Pokémon Gold / Silver Version,GB,Nintendo  ,23.1,9.0,6.18,7.2,0.71,2000
14,Wii Fit,Wii,Nintendo  ,22.7,8.92,8.03,3.6,2.15,2008
15,Kinect Adventures!,X360,Microsoft Game Studios  ,22.1,15.09,4.97,0.24,1.81,2010
16,Wii Fit Plus,Wii,Nintendo  ,21.81,9.01,8.51,2.53,1.76,2009
17,Grand Theft Auto: San Andreas,PS2,Rockstar Games  ,20.81,9.43,0.4,0.41,10.57,2004
18,Super Mario World,SNES,Nintendo  ,20.61,12.78,3.75,3.54,0.55,1991
19,Grand Theft Auto V,PS3,Rockstar Games  ,20.32,6.37,9.85,0.99,3.12,2013
20,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo  ,20.16,4.74,9.21,4.16,2.04,2006
21,Grand Theft Auto V,PS4,Rockstar Games  ,19.39,6.06,9.71,0.6,3.02,2014
22,Pokémon Diamond / Pearl Version,DS,Nintendo  ,18.25,6.38,4.47,6.04,1.36,2007
23,Super Mario Land,GB,Nintendo  ,18.14,10.83,2.71,4.18,0.42,1989
24,Super Mario Bros. 3,NES,Nintendo  ,17.28,9.54,3.44,3.84,0.46,1990
25,Grand Theft Auto: Vice City,PS2,Rockstar Games  ,16.15,8.41,5.49,0.47,1.78,2002
26,Pokémon X/Y,3DS,Nintendo  ,16.13,5.68,5.06,4.4,0.99,2013
27,Grand Theft Auto V,X360,Rockstar Games  ,15.86,9.06,5.33,0.06,1.42,2013
28,Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,15.85,6.06,3.9,5.38,0.5,2003
29,Mario Kart 7,3DS,Nintendo  ,15.49,6.03,5.35,3.0,1.11,2011
30,Brain Age 2: More Training in Minutes a Day,DS,Nintendo  ,15.29,3.43,5.36,5.32,1.18,2007
31,Pokémon Black / White Version,DS,Nintendo  ,15.18,5.51,3.2,5.66,0.8,2011
32,Pokémon Sun/Moon,3DS,Nintendo  ,15.17,6.02,4.34,3.82,0.99,2016
33,Call of Duty: Black Ops 3,PS4,Activision  ,15.09,6.18,6.05,0.41,2.44,2015
34,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment  ,14.98,6.85,5.09,1.87,1.16,2001
35,Call of Duty: Modern Warfare 3,X360,Activision  ,14.82,9.07,4.29,0.13,1.33,2011
36,Call of Duty: Black Ops,X360,Activision  ,14.74,9.76,3.73,0.11,1.14,2010
37,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo  ,14.64,5.89,5.04,3.12,0.59,1999
38,Red Dead Redemption 2,PS4,Rockstar Games  ,13.94,5.26,6.21,0.21,2.26,2018
39,Call of Duty: Black Ops II,X360,Activision  ,13.86,8.27,4.32,0.07,1.2,2012
40,Call of Duty: Black Ops II,PS3,Activision  ,13.8,4.99,5.88,0.65,2.28,2012
41,Call of Duty: Modern Warfare 2,X360,Activision  ,13.53,8.54,3.63,0.08,1.28,2009
42,Call of Duty: WWII,PS4,Activision  ,13.4,4.67,6.21,0.4,2.12,2017
